nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
3,16,e8m0,rtne,True,-0.45835260892731944,-0.458518362074417,-0.4581667274958988,0.04164739107268056,-0.7394503885665642,1.539894291000745,weakening (slower decay than -0.5),False,2000
3,16,e4m3,rtne,False,-0.45884833322169755,-0.4590422577194235,-0.4586590138135465,0.041151666778302454,-0.8197244571358842,1.47432584075648,weakening (slower decay than -0.5),False,2000
3,32,e8m0,sr,False,-0.41532527042411077,-0.4155924455528375,-0.41510256440633614,0.08467472957588923,-0.5843937099675403,1.6765532141545019,weakening (slower decay than -0.5),False,2000
15,32,e8m0,rtne,True,-0.488041811753351,-0.48841230511517586,-0.48768830771143384,0.011958188246649015,-0.777650141254026,1.4853507912977935,weakening (slower decay than -0.5),False,2000
1,16,e8m0,rtne,False,-0.1275268342987957,-0.1280153230170017,-0.12698874099665802,0.3724731657012043,-0.7510566598322437,1.303116557025281,weakening (slower decay than -0.5),False,2000
1,16,e8m0,sr,False,-0.12370078208418739,-0.12419608340091588,-0.12325224088597701,0.3762992179158126,-0.605411073566869,1.4467873293875328,weakening (slower decay than -0.5),False,2000
2,32,e8m0,rtne,True,-0.37002747058318713,-0.3703472695073286,-0.36977831052009,0.12997252941681287,-0.7740956165937846,1.2286837617914066,weakening (slower decay than -0.5),False,2000
30,16,e8m0,sr,True,-0.4899445364972285,-0.49040528802472777,-0.4894745022000609,0.010055463502771478,-0.6361234613410829,1.7922618150727458,weakening (slower decay than -0.5),False,2000
30,32,e4m3,rtne,False,-0.48533734456499117,-0.4858184296422048,-0.48493202055468065,0.014662655435008831,-0.8559444761809685,1.4077346224772966,weakening (slower decay than -0.5),False,2000
5,16,e8m0,rtne,True,-0.48481519575633913,-0.4852316231528218,-0.4844776873760647,0.015184804243660865,-0.7541657557374357,1.5658500390352592,weakening (slower decay than -0.5),False,2000
3,32,e4m3,sr,True,-0.4430893027626883,-0.4433376241205407,-0.44283413690702195,0.05691069723731168,-0.6587842859604727,1.6264125173502313,weakening (slower decay than -0.5),False,2000
1,32,e4m3,rtne,True,-0.048813371747684735,-0.0493418091197498,-0.0482560818457636,0.45118662825231526,-0.9223056136557447,0.8628167741834766,weakening (slower decay than -0.5),False,2000
15,16,e8m0,rtne,False,-0.49257640502160666,-0.49300489298028627,-0.49215781512806567,0.007423594978393344,-0.7698545273344088,1.5740658133945673,weakening (slower decay than -0.5),False,2000
gaussian,16,e8m0,sr,False,-0.4915269307927348,-0.49198912397768196,-0.4911242630385659,0.008473069207265205,-0.637993656314993,1.800166836085342,weakening (slower decay than -0.5),False,2000
30,32,e8m0,rtne,False,-0.48868755101714184,-0.48907479869614606,-0.4882358770900705,0.011312448982858159,-0.7775959973281745,1.5034029138134228,weakening (slower decay than -0.5),False,2000
