nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
3,1024,rtne,False,5000,-0.1480851016490412,-0.15275959339739043,-0.14132768814611474,-0.3408480580116624,-0.34370558996786005,-0.33431212342919814,-0.031286577108129876,-0.03282072747849272,-0.029772779311076004,True,True,True,scale
3,1024,rtne,True,5000,-0.042483628681440955,-0.045409807612740646,-0.039831475627346256,-0.10938003903374671,-0.11043049308978656,-0.10830107474946948,-0.01841959684505401,-0.019875133082188266,-0.016792171238009933,True,True,True,scale
3,1024,sr,False,5000,-0.14379185716434773,-0.15070364180567886,-0.1364097595967495,-0.332908394508701,-0.3387541709803994,-0.3287395575679687,-0.01946539976255579,-0.021122258345452404,-0.017701093045423846,True,True,True,scale
3,1024,sr,True,5000,-0.039007543106764686,-0.04129651727418895,-0.036411403563422116,-0.10999741398260099,-0.11090862569072764,-0.10912547030747981,-0.017508295511747818,-0.019141248189602923,-0.015914863082247346,True,True,True,scale
3,4096,rtne,False,5000,-0.14660449388271335,-0.1572585977881893,-0.13669703698177216,-0.3419295189891596,-0.35022359186996094,-0.33686251351743474,-0.03313224886498567,-0.03477718898984572,-0.03162972421162595,True,True,True,scale
3,4096,rtne,True,5000,-0.03724491894875648,-0.039682399496457396,-0.03462673920924924,-0.10433555923744642,-0.10515483120852206,-0.10354896742712116,-0.017858731362353275,-0.019298188848238595,-0.016363772183441764,True,True,True,scale
3,4096,sr,False,5000,-0.1510519149569678,-0.1569711866819521,-0.14294954212915734,-0.33922138677535774,-0.3437019668320547,-0.33473967094894597,-0.020578549702626958,-0.022123665419369876,-0.01916746533559164,True,True,True,scale
3,4096,sr,True,5000,-0.037871644152457584,-0.041425613168695107,-0.03467773667419505,-0.10622053371344276,-0.10713351410383107,-0.10522146658253384,-0.017991023760906444,-0.019460028622580026,-0.016423029964827432,True,True,True,scale
5,16,rtne,False,1000,-0.0191011664365508,-0.024738635986236268,0.003031321207350288,-0.2273000925148927,-0.2301154009294292,-0.22456590340118696,0.0005271039438508041,-0.005327863275965504,0.005427406907565401,False,True,False,scale
5,16,rtne,True,1000,-0.0044002231627398025,-0.017134184484419977,0.00932251072798223,-0.1597807499614614,-0.16238457286664068,-0.15770693291752952,-0.003378991926235031,-0.008600231926369762,0.0010020322775200557,False,True,False,scale
5,16,sr,False,1000,0.003613010656325244,-0.017954029406411994,0.01799994246708625,-0.22814227296436762,-0.22997210979652208,-0.22541945471045216,0.0016140375815854036,-0.0029746092723648685,0.00727686539902692,False,True,False,scale
5,16,sr,True,1000,-0.002100039528631026,-0.011210209581574171,0.007244199702935312,-0.15782513037187051,-0.1605156650802454,-0.1552599194249716,-0.0025682246955383015,-0.0065098449466001185,0.0026458969871045505,False,True,False,scale
5,64,rtne,False,1000,-0.08440428474035944,-0.0917455975280026,-0.07525220958928938,-0.23851004037480017,-0.24203652946810747,-0.2349275534398904,-0.03220995989252451,-0.036375345433804704,-0.029206217536003123,True,True,True,scale
5,64,rtne,True,1000,-0.04320083444703027,-0.05149212430917018,-0.037592872144848855,-0.14228638466253818,-0.14421721645628494,-0.1395305653702021,-0.033356721545860335,-0.03701993068277086,-0.029890005018301507,True,True,True,scale
5,64,sr,False,1000,-0.08970378379863497,-0.09480203586062988,-0.07946227290093022,-0.23111960278163846,-0.23406573790268592,-0.2271388527458908,-0.02599259756423411,-0.030532595081058923,-0.021847509111145504,True,True,True,scale
5,64,sr,True,1000,-0.05234461352764974,-0.06191299140391476,-0.036327966487088206,-0.1381717674508125,-0.14053431685739087,-0.13567847509001688,-0.02729255858102997,-0.031279200745413606,-0.023201460802491206,True,True,True,scale
